DATE,REGION,VOL
2013-08-19,COFFE,0.00010548390482763942
2013-08-20,COFFE,0.00047702911431845056
2013-08-21,COFFE,0.00016521845939976678
2013-08-22,COFFE,8.070300499287925e-05
2013-08-23,COFFE,4.719237595207964e-05
2013-08-26,COFFE,3.320155793989744e-05
2013-08-27,COFFE,2.2738461719290695e-05
2013-08-28,COFFE,4.319374982331283e-05
2013-08-29,COFFE,6.299672684319723e-05
2013-08-30,COFFE,6.383763302782933e-05
2013-09-03,COFFE,7.142461652645292e-05
2013-09-04,COFFE,7.142461652645292e-05
2013-09-05,COFFE,0.00011389545585582533
2013-09-06,COFFE,0.00011389545585582533
2013-09-09,COFFE,0.0
2013-09-10,COFFE,0.0
2013-09-11,COFFE,0.00010909397132348914
2013-09-12,COFFE,3.2877371346980078e-06
2013-09-13,COFFE,0.0
2013-09-16,COFFE,0.0
2013-09-17,COFFE,0.00037687359200370973
2013-09-18,COFFE,0.0
2013-09-19,COFFE,5.253698960919757e-05
2013-09-20,COFFE,7.875079530128253e-05
2013-09-23,COFFE,0.00020998218954438742
2013-09-24,COFFE,5.103027800510711e-05
2013-09-25,COFFE,0.00011949006682885428
2013-09-26,COFFE,0.00018784192824001315
2013-09-27,COFFE,0.00015792172791447863
2013-09-30,COFFE,4.677984824451195e-05
2013-10-01,COFFE,6.250013415134565e-05
2013-10-02,COFFE,5.364109167719019e-05
2013-10-03,COFFE,0.00010871548261654898
2013-10-04,COFFE,0.00012038138742079259
2013-10-07,COFFE,4.3269480009917436e-05
2013-10-08,COFFE,6.179313531739711e-05
2013-10-09,COFFE,4.959669664095296e-05
2013-10-10,COFFE,0.0003867845062952262
2013-10-11,COFFE,0.00019677317640849713
2013-10-14,COFFE,4.8163736414681194e-05
2013-10-15,COFFE,0.0001731850006056162
2013-10-16,COFFE,9.083754446649917e-05
2013-10-17,COFFE,0.00011965160663424908
2013-10-18,COFFE,3.0291410258611763e-05
2013-10-21,COFFE,0.00016127894493570927
2013-10-22,COFFE,6.400783385317013e-05
2013-10-23,COFFE,0.0001160507879670438
2013-10-24,COFFE,0.00016262370320093095
2013-10-25,COFFE,0.0002088701452239151
2013-10-28,COFFE,0.00016343816447342573
2013-10-29,COFFE,4.9017629054218954e-05
2013-10-30,COFFE,4.1488376884782334e-05
2013-10-31,COFFE,0.00013421064890284943
2013-11-01,COFFE,0.0001056968915732472
2013-11-04,COFFE,0.0002668962604612561
2013-11-05,COFFE,5.6902581847825365e-05
2013-11-06,COFFE,0.0002602821219741843
2013-11-07,COFFE,0.000613350607636489
